tradeMethodName,Count,percentage,totalPayMethods
Mercantil Bank Panama,79,1.3408010862186015,5892
Metropolitan Bank of the Philippines,5,0.08486082824168364,5892
MoMo,3,0.05091649694501019,5892
Moneygram,27,0.45824847250509165,5892
Monobank,52,0.8825526137135098,5892
Mony,62,1.052274270196877,5892
Multibank Panama,2,0.03394433129667346,5892
N26,2,0.03394433129667346,5892
NETELLER,161,2.732518669382213,5892
Naranja X,2,0.03394433129667346,5892
NayaPay,2,0.03394433129667346,5892
Nequi,37,0.6279701289884589,5892
OCA Blue,18,0.3054989816700611,5892
OTP,1,0.01697216564833673,5892
Optima Bank,1,0.01697216564833673,5892
Oschadbank,1,0.01697216564833673,5892
PKO Bank,2,0.03394433129667346,5892
PUMB,4,0.06788866259334692,5892
Pago Movil,1,0.01697216564833673,5892
Papara,1,0.01697216564833673,5892
PayMe,3,0.05091649694501019,5892
Payall,23,0.39035980991174474,5892
Payeer,167,2.8343516632722334,5892
Paymaya,5,0.08486082824168364,5892
Paynet,1,0.01697216564833673,5892
Paysend.com,3,0.05091649694501019,5892
Paysera,14,0.23761031907671418,5892
Paytm,18,0.3054989816700611,5892
Perfect Money,244,4.141208418194162,5892
PhonePe,17,0.28852681602172436,5892
Pix,1,0.01697216564833673,5892
Plin,1,0.01697216564833673,5892
Prex,31,0.5261371350984385,5892
PriorBank,5,0.08486082824168364,5892
Privat Bank (Universal Card),47,0.7976917854718262,5892
Produbanco,106,1.7990495587236932,5892
QIWI,1,0.01697216564833673,5892
QNB,3,0.05091649694501019,5892
RBC Royal Bank,1,0.01697216564833673,5892
Raast,1,0.01697216564833673,5892
Raiffeisenbank,3,0.05091649694501019,5892
Reba,11,0.18669382213170402,5892
Red Pagos,13,0.22063815342837745,5892
Revolut,177,3.0040733197556007,5892
RosBank,13,0.22063815342837745,5892
SEPA (EU) bank transfer,2,0.03394433129667346,5892
Santander Poland,1,0.01697216564833673,5892
Scotiabank Costa Rica,7,0.11880515953835709,5892
Scotiabank Peru,20,0.3394433129667346,5892
Scotiabank Uruguay,12,0.20366598778004075,5892
SettlePay,1,0.01697216564833673,5892
Skrill (Moneybookers),343,5.821452817379497,5892
Standard Chartered Bank,2,0.03394433129667346,5892
TBC Bank,131,2.2233536999321113,5892
TD Bank,1,0.01697216564833673,5892
Tigo Pesa,1,0.01697216564833673,5892
Tinkoff,119,2.0196877121520704,5892
Towerbank,25,0.4243041412084182,5892
Transferencia ACH (Panamá),9,0.15274949083503056,5892
Transferencia Bancaria Costa Rica,8,0.13577732518669383,5892
Transfers with specific bank,4,0.06788866259334692,5892
True Money,5,0.08486082824168364,5892
True Money (Cambodia),3,0.05091649694501019,5892
UPI,17,0.28852681602172436,5892
Ukrsibbank,2,0.03394433129667346,5892
Unibank,1,0.01697216564833673,5892
UnionBank of the Philippines,5,0.08486082824168364,5892
UnionPay,2,0.03394433129667346,5892
United Bank Limited,5,0.08486082824168364,5892
Uphold,27,0.45824847250509165,5892
Uzbek National Bank,1,0.01697216564833673,5892
Uzcard,1,0.01697216564833673,5892
VakifBank,43,0.7298031228784793,5892
Venmo,3,0.05091649694501019,5892
Victoriabank,17,0.28852681602172436,5892
Vivid Money,1,0.01697216564833673,5892
Wally Tech,1,0.01697216564833673,5892
WeChat,3,0.05091649694501019,5892
Western Union,47,0.7976917854718262,5892
Wilobank,1,0.01697216564833673,5892
Wing Money,33,0.560081466395112,5892
Wise,705,11.965376782077392,5892
WorldRemit,6,0.10183299389002037,5892
Yape,1,0.01697216564833673,5892
ZEN,77,1.306856754921928,5892
Zelle,133,2.257298031228785,5892
Zinli,162,2.74949083503055,5892
Ziraat,23,0.39035980991174474,5892
alBaraka,1,0.01697216564833673,5892
bKash,1,0.01697216564833673,5892
m10,1,0.01697216564833673,5892
whish MONEY,4,0.06788866259334692,5892
İŞBANK,13,0.22063815342837745,5892
