identifier,Count,percentage,totalPayMethods
BankRepublicUruguay,35,0.27260690084897576,12839
BankTransferCambodia,35,0.27260690084897576,12839
BankTransferCosta,44,0.34270581821014096,12839
BankTransferMena,7,0.05452138016979516,12839
BankTransferVietnam,4,0.031155074382740088,12839
BankofAmerica,162,1.2617805125009736,12839
BankofGeorgia,290,2.2587428927486566,12839
BanktransferTurkey,43,0.33491704961445595,12839
Banktransferperu,10,0.07788768595685022,12839
Banorte,5,0.03894384297842511,12839
BanqueMisr,1,0.007788768595685022,12839
Banrural,1,0.007788768595685022,12839
BigPay,5,0.03894384297842511,12839
Blik,2,0.015577537191370044,12839
BosBank,2,0.015577537191370044,12839
BudapestBank,7,0.05452138016979516,12839
CARTUBANK,1,0.007788768595685022,12839
CIB,1,0.007788768595685022,12839
CIBBank,1,0.007788768595685022,12839
CIMBNiaga,5,0.03894384297842511,12839
CREDOBANK,66,0.5140587273152115,12839
CaixaBank,1,0.007788768595685022,12839
Canadia,5,0.03894384297842511,12839
CashDeposit,46,0.358283355401511,12839
CashInPerson,24,0.18693044629644054,12839
CashU,3,0.023366305787055067,12839
Cashapp,73,0.5685801074850066,12839
CenterCreditBank,65,0.5062699587195264,12839
Ceskasporitelna,1,0.007788768595685022,12839
Chippercash,3,0.023366305787055067,12839
Chivowallet,1,0.007788768595685022,12839
CitiBanamex,5,0.03894384297842511,12839
CitibankRussia,10,0.07788768595685022,12839
Coinsph,8,0.062310148765480175,12839
CreditAgricole,9,0.0700989173611652,12839
CreditBankofPeru,204,1.5889087935197446,12839
CreditEuropeBank,10,0.07788768595685022,12839
DANA,6,0.046732611574110135,12839
DEMIRBANK,56,0.43617104135836127,12839
DSKBank,1,0.007788768595685022,12839
Daviplata,11,0.08567645455253524,12839
DaviviendaSA,20,0.15577537191370044,12839
DenizBank,86,0.6698340992289119,12839
DukascopyBank,6,0.046732611574110135,12839
ELCART,1,0.007788768595685022,12839
EQbank,4,0.031155074382740088,12839
EasypaisaPK,38,0.29597320663603083,12839
Ecobank,7,0.05452138016979516,12839
Efecty,4,0.031155074382740088,12839
EquityBank,6,0.046732611574110135,12839
ErsteBank,12,0.09346522314822027,12839
EurasianBank,16,0.12462029753096035,12839
FCMB,2,0.015577537191370044,12839
FPS,2,0.015577537191370044,12839
Facebank,35,0.27260690084897576,12839
FasterPayments,3,0.023366305787055067,12839
FidelityBank,1,0.007788768595685022,12839
FinComBank,37,0.2881844380403458,12839
Fiobanka,4,0.031155074382740088,12839
FirstBankOfNigeria,3,0.023366305787055067,12839
ForteBank,50,0.3894384297842511,12839
FreedomBank,17,0.13240906612664538,12839
GPay,26,0.20250798348781057,12839
GTBank,7,0.05452138016979516,12839
Garanti,16,0.12462029753096035,12839
Gcash,14,0.10904276033959032,12839
GoPay,5,0.03894384297842511,12839
HALKBANK,8,0.062310148765480175,12839
HSBCuruguay,2,0.015577537191370044,12839
HalykBank,72,0.5607913388893216,12839
HomeCreditKazakhstan,11,0.08567645455253524,12839
Humo,37,0.2881844380403458,12839
IDBank,32,0.2492405950619207,12839
IMPS,44,0.34270581821014096,12839
ING,3,0.023366305787055067,12839
ISBANK,23,0.1791416777007555,12839
Idram,7,0.05452138016979516,12839
Inecobank,2,0.015577537191370044,12839
InfinBank,4,0.031155074382740088,12839
InteracETransfer,12,0.09346522314822027,12839
Interbank,140,1.090427603395903,12839
ItauUruguay,30,0.23366305787055067,12839
JysanBank,54,0.4205935041669912,12839
KHBank,1,0.007788768595685022,12839
KHQR,15,0.11683152893527533,12839
Kapitalbank,216,1.6823740166679648,12839
KaspiBank,98,0.7632993223771322,12839
KeystoneBank,2,0.015577537191370044,12839
KoronaPay,23,0.1791416777007555,12839
KredoBank,3,0.023366305787055067,12839
KuveytTurk,40,0.3115507438274009,12839
LIBERTYBANK,18,0.1401978347223304,12839
LemonCash,9,0.0700989173611652,12839
LeoBank,5,0.03894384297842511,12839
Ligo,1,0.007788768595685022,12839
LloydsBank,2,0.015577537191370044,12839
LoP,3,0.023366305787055067,12839
MAIB,192,1.4954435703715243,12839
MBoP,13,0.10125399174390529,12839
MICB,172,1.3396681984578238,12839
MKBBank,2,0.015577537191370044,12839
MONETAMoneyBank,1,0.007788768595685022,12839
MPesaKenya,101,0.7866656281641873,12839
MTBank,16,0.12462029753096035,12839
MTNMobileMoney,35,0.27260690084897576,12839
MTSBank,5,0.03894384297842511,12839
MandiriPay,7,0.05452138016979516,12839
Maybank,8,0.062310148765480175,12839
MeezanBank,16,0.12462029753096035,12839
MercadoPagoNew,8,0.062310148765480175,12839
Mercantil,10,0.07788768595685022,12839
MercantilBankPanama,73,0.5685801074850066,12839
Millennium,7,0.05452138016979516,12839
MoMoNew,13,0.10125399174390529,12839
Mobiletopup,2,0.015577537191370044,12839
MoneyGram,68,0.5296362645065815,12839
Monobank,232,1.806994314198925,12839
Mony,64,0.4984811901238414,12839
Monzo,2,0.015577537191370044,12839
MoovMoney,3,0.023366305787055067,12839
MpesaPaybill,39,0.3037619752317159,12839
MpesaVodaphone,21,0.16356414050938547,12839
MultibankPanama,5,0.03894384297842511,12839
N26,5,0.03894384297842511,12839
NETELLER,200,1.5577537191370043,12839
Nagad,4,0.031155074382740088,12839
NaranjaX,12,0.09346522314822027,12839
NayaPay,26,0.20250798348781057,12839
Nequi,30,0.23366305787055067,12839
Nurbank,6,0.046732611574110135,12839
OKSO,1,0.007788768595685022,12839
OPTIMABANK,62,0.4829036529324714,12839
OTPBank,36,0.2803956694446608,12839
OTPBankRussia,2,0.015577537191370044,12839
OVO,6,0.046732611574110135,12839
OcaBlue,16,0.12462029753096035,12839
OccidenteHonduras,1,0.007788768595685022,12839
Oldubil,1,0.007788768595685022,12839
OrangeMoney,4,0.031155074382740088,12839
Oschadbank,14,0.10904276033959032,12839
PASHABANK,6,0.046732611574110135,12839
PKObank,6,0.046732611574110135,12839
PREMIUMBANK,5,0.03894384297842511,12839
PUMBBank,74,0.5763688760806917,12839
PagoMovil,25,0.19471921489212554,12839
Papara,43,0.33491704961445595,12839
ParitetBank,8,0.062310148765480175,12839
PayPro,1,0.007788768595685022,12839
Payall,73,0.5685801074850066,12839
Payeer,207,1.6122750993067996,12839
Paymaya,13,0.10125399174390529,12839
Payme,31,0.2414518264662357,12839
Paysend,8,0.062310148765480175,12839
Paysera,13,0.10125399174390529,12839
Paytm,35,0.27260690084897576,12839
PerfectMoney,314,2.445673339045097,12839
PermataMe,4,0.031155074382740088,12839
PhilippinesNationalB,2,0.015577537191370044,12839
PhonePe,35,0.27260690084897576,12839
PiPay,2,0.015577537191370044,12839
PipolPay,9,0.0700989173611652,12839
Pix,3,0.023366305787055067,12839
Plin,9,0.0700989173611652,12839
PostBankNew,2,0.015577537191370044,12839
Prex,68,0.5296362645065815,12839
PriorBank,53,0.4128047355713062,12839
PrivatBank,220,1.7135290910507048,12839
Produbanco,128,0.9969623802476828,12839
Provincial,5,0.03894384297842511,12839
QIWI,7,0.05452138016979516,12839
QNB,18,0.1401978347223304,12839
QishloqQurilishBank,1,0.007788768595685022,12839
RCBC,5,0.03894384297842511,12839
RSKBANK,1,0.007788768595685022,12839
Raast,10,0.07788768595685022,12839
Rabitabank,1,0.007788768595685022,12839
RaiffeisenBank,46,0.358283355401511,12839
RaiffeisenBankAval,15,0.11683152893527533,12839
Reba,23,0.1791416777007555,12839
RecargaPines,1,0.007788768595685022,12839
RedPagos,3,0.023366305787055067,12839
Revolut,269,2.095178752239271,12839
Rocket,2,0.015577537191370044,12839
RosBankNew,28,0.21808552067918063,12839
RussianStandardBank,1,0.007788768595685022,12839
SEAbank,2,0.015577537191370044,12839
SEPA,16,0.12462029753096035,12839
SEPAinstant,8,0.062310148765480175,12839
SWIFT,98,0.7632993223771322,12839
SadaPay,26,0.20250798348781057,12839
SantanderArgentina,5,0.03894384297842511,12839
SantanderPoland,2,0.015577537191370044,12839
SantanderUrug,27,0.2102967520834956,12839
ScotiabankCostaRica,24,0.18693044629644054,12839
ScotiabankPanama,1,0.007788768595685022,12839
ScotiabankPeru,61,0.47511488433678634,12839
ScotiabankUruguay,12,0.09346522314822027,12839
SilvergateBank,1,0.007788768595685022,12839
SkrillMoneybookers,588,4.579795934262793,12839
SpecificBank,61,0.47511488433678634,12839
Sportbank,3,0.023366305787055067,12839
StanbicBank,3,0.023366305787055067,12839
StandardChartered,2,0.015577537191370044,12839
TBCR,45,0.350494586805826,12839
TBCbank,200,1.5577537191370043,12839
TBH,5,0.03894384297842511,12839
TDbank,18,0.1401978347223304,12839
TMRW,1,0.007788768595685022,12839
Tap,1,0.007788768595685022,12839
Terabank,1,0.007788768595685022,12839
TigoPesa,10,0.07788768595685022,12839
TinkoffNew,183,1.425344653010359,12839
Towerbank,10,0.07788768595685022,12839
TransBank,1,0.007788768595685022,12839
TransferenciaACH,29,0.22587428927486564,12839
TrueMoneyCambodia,7,0.05452138016979516,12839
UBoP,14,0.10904276033959032,12839
UNIBANK,47,0.366072123997196,12839
UPI,44,0.34270581821014096,12839
UalaNew,1,0.007788768595685022,12839
Ukrsibbank,21,0.16356414050938547,12839
UniCreditEU,1,0.007788768595685022,12839
UniCreditRussia,10,0.07788768595685022,12839
UnionBankofNigeria,4,0.031155074382740088,12839
UnionPay,7,0.05452138016979516,12839
UnitedBankLimited,14,0.10904276033959032,12839
UnitedBulgarianBank,1,0.007788768595685022,12839
Upaisa,11,0.08567645455253524,12839
Uphold,44,0.34270581821014096,12839
UralsibBank,1,0.007788768595685022,12839
UzbekNationalBank,7,0.05452138016979516,12839
Uzcard,28,0.21808552067918063,12839
Uzpromstroybank,3,0.023366305787055067,12839
VakifBank,69,0.5374250331022665,12839
Venmo,16,0.12462029753096035,12839
Victoriabank,117,0.9112859256951475,12839
ViettelMoney,2,0.015577537191370044,12839
Vodafonecash,12,0.09346522314822027,12839
WECHAT,3,0.023366305787055067,12839
WallyTech,10,0.07788768595685022,12839
WaveMobile,1,0.007788768595685022,12839
WesternUnion,141,1.098216371991588,12839
WhishMONEY,10,0.07788768595685022,12839
Wilobank,8,0.062310148765480175,12839
WingMoney,43,0.33491704961445595,12839
Wise,915,7.126723265051795,12839
WorldRemit,7,0.05452138016979516,12839
Yape,10,0.07788768595685022,12839
ZAINCASH,2,0.015577537191370044,12839
ZEN,46,0.358283355401511,12839
ZainCashBusiness,1,0.007788768595685022,12839
ZaloPayNew,2,0.015577537191370044,12839
Zelle,462,3.59841109120648,12839
ZenithBank,6,0.046732611574110135,12839
Zinli,199,1.5499649505413193,12839
Ziraat,41,0.3193395124230859,12839
airtelmoney,20,0.15577537191370044,12839
alBaraka,7,0.05452138016979516,12839
bKash,10,0.07788768595685022,12839
ezipay,2,0.015577537191370044,12839
izibank,2,0.015577537191370044,12839
m10,1,0.007788768595685022,12839
mBank,10,0.07788768595685022,12839
stcpay,2,0.015577537191370044,12839
urpay,2,0.015577537191370044,12839
